# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1662559366.6289027,0,0,0,28.19512176513672,16473.818359375
1,1662559366.6297328,3200,-22.243244171142578,16226.4345703125,28.19512176513672,16473.818359375
2,1662559368.4683518,6400,27.997426986694336,38949.44140625,28.19512176513672,16473.818359375
3,1662559368.7980192,9600,27.997426986694336,38949.44140625,-42.5536003112793,41446.4296875
4,1662559371.1167688,12800,64.11795043945312,37017.6953125,-42.5536003112793,41446.4296875
5,1662559371.7077155,16000,64.11795043945312,37017.6953125,-59.81622314453125,32820.0078125
6,1662559373.7250223,19200,31.038455963134766,19334.65234375,-59.81622314453125,32820.0078125
7,1662559374.3453367,22400,31.038455963134766,19334.65234375,-20.54073715209961,19658.341796875
8,1662559376.5690463,25600,14.095766067504883,10147.73828125,-20.54073715209961,19658.341796875
9,1662559377.2103324,28800,14.095766067504883,10147.73828125,-10.47758960723877,8279.3837890625
10,1662559379.274969,32000,-4.786862850189209,19952.65625,-10.47758960723877,8279.3837890625
11,1662559380.0390382,35200,-4.786862850189209,19952.65625,12.790897369384766,26521.09765625
12,1662559382.0332782,38400,-12.81731128692627,24812.900390625,12.790897369384766,26521.09765625
13,1662559382.5103006,41600,-12.81731128692627,24812.900390625,15.783353805541992,20467.1171875
14,1662559384.713724,44800,-8.194313049316406,20105.904296875,15.783353805541992,20467.1171875
15,1662559385.2366743,48000,-8.194313049316406,20105.904296875,7.310434341430664,22268.951171875
16,1662559387.3448477,51200,-6.606584548950195,17438.244140625,7.310434341430664,22268.951171875
17,1662559387.9853222,54400,-6.606584548950195,17438.244140625,7.421444416046143,14980.9345703125
18,1662559390.1851277,57600,-8.725926399230957,13352.5107421875,7.421444416046143,14980.9345703125
19,1662559390.6008244,60800,-8.725926399230957,13352.5107421875,10.411006927490234,13863.7158203125
20,1662559392.7878442,64000,-12.534392356872559,18440.208984375,10.411006927490234,13863.7158203125
21,1662559393.3899438,67200,-12.534392356872559,18440.208984375,14.19816780090332,18588.560546875
22,1662559395.6748598,70400,-13.8657865524292,13029.046875,14.19816780090332,18588.560546875
23,1662559396.0838583,73600,-13.8657865524292,13029.046875,15.084430694580078,12909.330078125
24,1662559398.2990901,76800,-12.979220390319824,8882.130859375,15.084430694580078,12909.330078125
25,1662559398.8325243,80000,-12.979220390319824,8882.130859375,13.52220630645752,8956.9072265625
26,1662559400.8495355,83200,-13.370161056518555,9265.4287109375,13.52220630645752,8956.9072265625
27,1662559401.4888318,86400,-13.370161056518555,9265.4287109375,15.168347358703613,8853.0859375
28,1662559403.717688,89600,-15.941228866577148,8074.93603515625,15.168347358703613,8853.0859375
29,1662559404.3470325,92800,-15.941228866577148,8074.93603515625,17.257125854492188,8396.4638671875
30,1662559406.3584895,96000,-17.214508056640625,6499.8056640625,17.257125854492188,8396.4638671875
31,1662559406.9959512,99200,-17.214508056640625,6499.8056640625,18.531055450439453,5527.5556640625
32,1662559409.1989627,102400,-18.660905838012695,3851.285888671875,18.531055450439453,5527.5556640625
33,1662559409.7733467,105600,-18.660905838012695,3851.285888671875,20.08711814880371,4041.411865234375
34,1662559411.8957736,108800,-19.273311614990234,3646.3701171875,20.08711814880371,4041.411865234375
35,1662559412.4658244,112000,-19.273311614990234,3646.3701171875,20.2562313079834,3220.046142578125
36,1662559414.8470116,115200,-19.210407257080078,3023.90576171875,20.2562313079834,3220.046142578125
37,1662559415.1550257,118400,-19.210407257080078,3023.90576171875,19.927753448486328,3402.296142578125
38,1662559417.257903,121600,-18.44855308532715,3430.045654296875,19.927753448486328,3402.296142578125
39,1662559417.7813654,124800,-18.44855308532715,3430.045654296875,18.589004516601562,3312.416748046875
40,1662559420.1339223,128000,-16.809293746948242,2817.486083984375,18.589004516601562,3312.416748046875
41,1662559420.5580883,131200,-16.809293746948242,2817.486083984375,17.175077438354492,2492.91455078125
42,1662559422.768784,134400,-15.875450134277344,2165.503173828125,17.175077438354492,2492.91455078125
43,1662559423.3656733,137600,-15.875450134277344,2165.503173828125,16.330472946166992,2390.3525390625
44,1662559425.59925,140800,-15.19934368133545,2495.27685546875,16.330472946166992,2390.3525390625
45,1662559426.0222688,144000,-15.19934368133545,2495.27685546875,15.467409133911133,2397.4501953125
46,1662559428.3455086,147200,-14.39443588256836,2476.6953125,15.467409133911133,2397.4501953125
47,1662559428.7359498,150400,-14.39443588256836,2476.6953125,14.873454093933105,2309.51806640625
48,1662559431.0200443,153600,-13.887953758239746,2105.292724609375,14.873454093933105,2309.51806640625
49,1662559431.4765706,156800,-13.887953758239746,2105.292724609375,14.243152618408203,2042.73828125
50,1662559433.8681762,160000,-14.001852989196777,2089.339599609375,14.243152618408203,2042.73828125
